DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
142,2021,FHB,First Hawaiian Inc,24992.41,182.384,2656.912,21816.146,65.804,9.082,12961.999,8438.132,265.735,530.559,184.916,7.257,2021,Optimal,0.014578061,0.0,0.0072890305,0.985421939,1.0,0.9927109695,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
146,2021,FISI,Financial Institutions Inc,5520.779,60.893,505.142,4827.09,127.778,12.483,3679.436,1384.096,77.697,154.73,46.906,12.166,2021,Optimal,0.034878719,0.028946958,0.0319128385,0.965121281,0.9437347906518618,0.9680871615,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
147,2021,FITB,Fifth Third Bancorp,211116.0,2616.0,22210.0,169324.0,13602.0,870.0,108998.0,38494.0,2770.0,4770.0,3118.0,542.0,2021,Optimal,0.063427754,0.028392685,0.0459102195,0.936572246,0.944782405759722,0.9540897805,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
148,2021,FIZN,First Citizens Bancshares Inc,2248.307,29.946,233.566,1919.337,81.321,4.743,1196.162,883.685,26.833,63.062,19.325,2.773,2021,Optimal,0.067596539,0.023651313,0.0456239259999999,0.932403461,0.9537902942151552,0.954376074,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
154,2021,FMCB,Farmers & Merchants Bancorp,5177.72,63.86,463.136,4640.152,15.11,1.368,3237.177,1023.055,66.336,160.936,21.056,1.389,2021,Optimal,0.011069775,0.0,0.0055348875,0.988930225,1.0,0.9944651125,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
155,2021,FMNB,Farmers National Banc Corp/OH,4142.749,39.393,472.432,3547.235,94.34,13.835,2331.082,1458.136,51.844,107.99,38.193,16.195,2021,Optimal,0.057288618,0.011732425,0.0345105215,0.942711382,0.9768072571164258,0.9654894785,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
161,2021,FNWD,Finward Bancorp,1620.743,24.241,156.615,1434.201,14.581,14.903,966.72,530.136,14.963,48.575,15.947,8.253,2021,Optimal,0.036166336,0.0,0.018083168,0.963833664,1.0,0.981916832,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
162,2021,FOTB,First Ottawa Bancshares Inc,970.88,18.936,63.667,839.582,58.5,2.438,823.031,67.817,11.516,36.543,8.747,7.965,2021,Optimal,0.062246211,0.0,0.0311231055,0.937753789,1.0,0.9688768945,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
168,2021,FSBC,Five Star Bancorp,2556.761,19.825,235.046,2285.89,28.386,0.452,1934.46,166.217,42.441,77.611,7.28,0.588,2021,Optimal,0.016444729,0.0,0.0082223645,0.983555271,1.0,0.9917776355,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
171,2021,FULT,Fulton Financial Corp,25796.398,329.138,2712.68,21573.499,1130.973,151.305,18089.006,4225.409,275.497,663.73,273.745,153.936,2021,Optimal,0.065499515,0.027786351,0.046642933,0.934500485,0.9459297139469406,0.953357067,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
176,2021,GABC,German American Bancorp Inc,5608.539,68.57,668.459,4744.316,158.41,21.832,3004.264,1903.018,84.137,160.83,59.462,14.758,2021,Optimal,0.066387503,0.047335236,0.0568613695,0.933612497,0.9096082431432682,0.9431386305,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
179,2021,GLBZ,Glen Burnie Bancorp,442.066,6.504,35.716,383.247,20.499,5.105,210.392,156.989,2.516,12.443,0.627,0.353,2021,Optimal,0.044236817,0.0,0.0221184085,0.955763183,1.0,0.9778815915,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
182,2021,HAFC,Hanmi Financial Corp,6858.587,72.561,643.417,5786.269,402.218,85.392,5151.541,927.175,98.677,195.05,40.496,14.035,2021,Optimal,0.067660292,0.0,0.033830146,0.932339708,1.0,0.966169854,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
184,2021,HBAN,Huntington Bancshares Inc,174064.0,2157.0,19318.0,143263.0,7883.0,563.0,106920.0,41555.0,1295.0,4102.0,1889.0,750.0,2021,Optimal,0.050839529,0.0,0.0254197645,0.949160471,1.0,0.9745802355,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
185,2021,HBC2,HSBC USA Inc,189232.0,665.0,17040.0,143032.0,23879.0,1710.0,55864.0,40501.0,688.0,2083.0,1237.0,622.0,2021,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
187,2021,HBIA,Hills Bancorporation,4044.562,42.458,488.463,3533.994,2.782,20.729,2660.532,555.9,48.085,104.462,33.464,16.633,2021,Optimal,0.038042508,0.0,0.019021254,0.961957492,1.0,0.980978746,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
190,2021,HFBK,Harford Bank (Alberdeen MD),575.175,7.021,49.547,522.324,0.527,5.89,368.101,106.176,5.341,17.591,1.966,7.79,2021,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9277338271067884,0.8996884017114126,1,Network Leaders,Network Leaders
