DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
73,2022,CFBK,CF Bankshares Inc,1820.174,15.125,139.248,1527.922,125.821,0.997,1588.317,23.384,18.164,48.79,3.21,0.761,2022,Optimal,0.094825585,0.01029239,0.0525589875,0.905174415,0.9796249281853938,0.9474410125,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
74,2022,CFFI,C&F Financial Corp,2332.317,47.867,196.233,2003.86,101.19,3.949,1635.718,513.711,29.159,93.464,28.482,1.541,2022,Optimal,0.072768016,0.034930945,0.0538494805,0.927231984,0.9324960855238512,0.9461505195,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
75,2022,CFFN,Capitol Federal Financial Inc,9624.897,56.6,1096.499,6194.866,2143.967,13.606,7480.579,1663.931,84.453,192.594,22.83,9.771,2022,Optimal,0.2681575,0.0,0.13407875,0.7318425,1.0,0.86592125,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
76,2022,CFG,Citizens Financial Group Inc,226733.0,2439.0,23690.0,180724.0,16956.0,724.0,156662.0,35052.0,2073.0,6012.0,2009.0,960.0,2022,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
77,2022,CFR,Cullen/Frost Bankers Inc,52892.376,580.704,3137.228,43954.196,5256.64,57.177,17154.969,20882.688,579.15,1291.283,404.818,38.797,2022,Optimal,0.082275622,0.0,0.041137811,0.917724378,1.0,0.958862189,0.9030261202360312,0.9337132013214337,1,Network Leaders,Network Leaders
78,2022,CHBH,Croghan Bancshares Inc,1125.763,16.513,109.07,908.898,100.746,0.499,699.459,336.291,14.014,37.668,7.006,0.583,2022,Optimal,0.13522438,0.026674236,0.080949308,0.86477562,0.9480375857021116,0.919050692,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
79,2022,CHCO,City Holding Co,5878.106,66.536,577.852,4869.866,290.964,7.58,3646.258,1529.327,102.071,180.033,72.077,6.301,2022,Optimal,0.093228196,0.03754652,0.065387358,0.906771804,0.92762441148181,0.934612642,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
80,2022,CHMG,Chemung Financial Corp,2645.553,32.722,166.388,2327.227,105.757,8.227,1829.448,646.04,28.783,74.179,21.436,8.373,2022,Optimal,0.04696001,0.077271112,0.062115561,0.95303999,0.8565428681057957,0.937884439,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
81,2022,CIVB,Civista Bancshares Inc,3537.83,50.851,334.835,2619.984,541.736,5.37,2546.666,651.177,39.427,110.204,29.076,10.905,2022,Optimal,0.19663936,0.049411742,0.123025551,0.80336064,0.905829637648556,0.876974449,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
82,2022,CIZN,Citizens Holding Co,1324.003,17.649,39.025,1126.402,145.89,6.668,585.591,609.698,9.62,34.909,10.885,6.46,2022,Optimal,0.0,0.11457586,0.05728793,1.0,0.7944045549308775,0.94271207,0.9030261202360312,0.9337132013214337,4,Funding-Rich Underperformers,Funding-Rich Underperformers
83,2022,CLBK,Columbia Financial Inc,10408.169,116.926,1053.595,8001.159,1145.662,3.939,7677.564,1811.655,86.173,266.777,30.4,6.721,2022,Optimal,0.15542646,0.0,0.07771323,0.8445735400000001,1.0,0.92228677,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
